name1,name2
patches/1023119668702432.png,batch_1_north_aligned/1023119668702432.png
patches/3319356618325976.png,batch_1_north_aligned/3319356618325976.png
patches/1379692299279748.png,batch_1_north_aligned/1379692299279748.png
patches/1986128161751727.png,batch_1_north_aligned/1986128161751727.png
patches/1090940798532400.png,batch_1_north_aligned/1090940798532400.png
patches/786692646198920.png,batch_1_north_aligned/786692646198920.png
patches/804475391309175.png,batch_1_north_aligned/804475391309175.png
patches/248772601128763.png,batch_1_north_aligned/248772601128763.png
patches/249019291099867.png,batch_1_north_aligned/249019291099867.png
patches/1004364583897361.png,batch_1_north_aligned/1004364583897361.png
patches/640451728142609.png,batch_1_north_aligned/640451728142609.png
patches/747531350457207.png,batch_1_north_aligned/747531350457207.png
patches/1301387507250997.png,batch_1_north_aligned/1301387507250997.png
patches/939350164026448.png,batch_1_north_aligned/939350164026448.png
patches/1529483674130623.png,batch_1_north_aligned/1529483674130623.png
patches/1009063900464554.png,batch_1_north_aligned/1009063900464554.png
patches/285655837210129.png,batch_1_north_aligned/285655837210129.png
patches/572680091692456.png,batch_1_north_aligned/572680091692456.png
patches/836458338075430.png,batch_1_north_aligned/836458338075430.png
patches/906978077395372.png,batch_1_north_aligned/906978077395372.png
patches/639952778191983.png,batch_1_north_aligned/639952778191983.png
patches/6697300776967414.png,batch_1_north_aligned/6697300776967414.png
patches/1063848158340988.png,batch_1_north_aligned/1063848158340988.png
patches/1355735448308818.png,batch_1_north_aligned/1355735448308818.png
patches/659736589180643.png,batch_1_north_aligned/659736589180643.png
patches/1292231474751804.png,batch_1_north_aligned/1292231474751804.png
patches/841348900840824.png,batch_1_north_aligned/841348900840824.png
patches/949516083005560.png,batch_1_north_aligned/949516083005560.png
patches/773538170981156.png,batch_1_north_aligned/773538170981156.png
patches/273149771901363.png,batch_1_north_aligned/273149771901363.png
patches/790300105924899.png,batch_1_north_aligned/790300105924899.png
patches/211157024648841.png,batch_1_north_aligned/211157024648841.png
patches/1360273267885481.png,batch_1_north_aligned/1360273267885481.png
patches/792780232499682.png,batch_1_north_aligned/792780232499682.png
patches/228926856742125.png,batch_1_north_aligned/228926856742125.png
patches/821726696140469.png,batch_1_north_aligned/821726696140469.png
patches/2217302718460162.png,batch_1_north_aligned/2217302718460162.png
patches/3470046993261703.png,batch_1_north_aligned/3470046993261703.png
patches/924042978685150.png,batch_1_north_aligned/924042978685150.png
patches/815656933516490.png,batch_1_north_aligned/815656933516490.png
patches/841266163667732.png,batch_1_north_aligned/841266163667732.png
patches/221199313647223.png,batch_1_north_aligned/221199313647223.png
patches/1312238406320225.png,batch_1_north_aligned/1312238406320225.png
patches/574463674845319.png,batch_1_north_aligned/574463674845319.png
patches/952945625959435.png,batch_1_north_aligned/952945625959435.png
patches/269705252313777.png,batch_1_north_aligned/269705252313777.png
patches/1179506302688252.png,batch_1_north_aligned/1179506302688252.png
patches/238276862313013.png,batch_1_north_aligned/238276862313013.png
patches/1417652762349609.png,batch_1_north_aligned/1417652762349609.png
patches/942797873478879.png,batch_1_north_aligned/942797873478879.png
patches/6512817922113890.png,batch_1_north_aligned/6512817922113890.png
patches/595720069366475.png,batch_1_north_aligned/595720069366475.png
patches/798658918660209.png,batch_1_north_aligned/798658918660209.png
patches/5925831957481380.png,batch_1_north_aligned/5925831957481380.png
patches/649049430455925.png,batch_1_north_aligned/649049430455925.png
patches/2497481850406689.png,batch_1_north_aligned/2497481850406689.png
patches/951220966147557.png,batch_1_north_aligned/951220966147557.png
patches/3772263289667717.png,batch_1_north_aligned/3772263289667717.png
patches/575099201476643.png,batch_1_north_aligned/575099201476643.png
patches/23974899945430516.png,batch_1_north_aligned/23974899945430516.png
patches/1041129753932036.png,batch_1_north_aligned/1041129753932036.png
patches/1583948105396430.png,batch_1_north_aligned/1583948105396430.png
patches/1215015262531761.png,batch_1_north_aligned/1215015262531761.png
patches/774645254145458.png,batch_1_north_aligned/774645254145458.png
patches/815750933400558.png,batch_1_north_aligned/815750933400558.png
patches/6376017735853300.png,batch_1_north_aligned/6376017735853300.png
patches/892448745241580.png,batch_1_north_aligned/892448745241580.png
patches/195504619636428.png,batch_1_north_aligned/195504619636428.png
patches/1253561901923645.png,batch_1_north_aligned/1253561901923645.png
patches/1221294101797129.png,batch_1_north_aligned/1221294101797129.png
patches/174966792057892.png,batch_1_north_aligned/174966792057892.png
patches/580031860701346.png,batch_1_north_aligned/580031860701346.png
patches/510505624401799.png,batch_1_north_aligned/510505624401799.png
patches/809219697291881.png,batch_1_north_aligned/809219697291881.png
patches/1212953262790409.png,batch_1_north_aligned/1212953262790409.png
patches/148545167742800.png,batch_1_north_aligned/148545167742800.png
patches/3407598949551381.png,batch_1_north_aligned/3407598949551381.png
patches/640132024720645.png,batch_1_north_aligned/640132024720645.png
patches/876792326977120.png,batch_1_north_aligned/876792326977120.png
patches/917681579669395.png,batch_1_north_aligned/917681579669395.png
patches/1796054067455935.png,batch_1_north_aligned/1796054067455935.png
patches/1257876508226528.png,batch_1_north_aligned/1257876508226528.png
patches/292653399882936.png,batch_1_north_aligned/292653399882936.png
patches/843002833909265.png,batch_1_north_aligned/843002833909265.png
patches/1425221141597451.png,batch_1_north_aligned/1425221141597451.png
patches/272741645435626.png,batch_1_north_aligned/272741645435626.png
patches/179850431344306.png,batch_1_north_aligned/179850431344306.png
patches/1932235027113573.png,batch_1_north_aligned/1932235027113573.png
patches/229024429941037.png,batch_1_north_aligned/229024429941037.png
